STATE,COUNTY,STATE_NAME,COUNTY_NAME,POP_COU,HOU_COU,ALAND_COU,ALAND_Mi²_COU,POPDEN_COU,HOUDEN_COU,TOTALBLOCKS,POP_URB,POPPCT_URB,HOU_URB,HOUPCT_URB,ALAND_URB,ALAND_Mi²_URB,ALAND_PCT_URB,POPDEN_URB,HOUDEN_URB,URBANBLOCKS,POP_RUR,POPPCT_RUR,HOU_RUR,HOUPCT_RUR,ALAND_RUR,ALAND_Mi²_RUR,ALAND_PCT_RUR,POPDEN_RUR,HOUDEN_RUR,RURALBLOCKS,,
01,001,Alabama,Autauga,"58,805","24,350","1,539,634,184",594.45,98.92,40.96,"1,512","34,885",59.32%,"14,359",58.97%,"55,907,164",21.59,3.63%,"1,616.11",665.21,521,"23,920",40.68%,"9,991",41.03%,"1,483,727,020",572.87,96.37%,41.75,17.44,991,,
01,003,Alabama,Baldwin,"231,767","124,148","4,117,656,199","1,589.83",145.78,78.09,"6,337","144,654",62.41%,"83,408",67.18%,"355,056,178",137.09,8.62%,"1,055.20",608.43,"3,156","87,113",37.59%,"40,740",32.82%,"3,762,600,021","1,452.74",91.38%,59.96,28.04,"3,181",,
01,005,Alabama,Barbour,"25,223","11,618","2,292,160,149",885.00,28.50,13.13,"1,283","8,596",34.08%,"4,080",35.12%,"16,132,419",6.23,0.70%,"1,380.06",655.03,272,"16,627",65.92%,"7,538",64.88%,"2,276,027,730",878.77,99.30%,18.92,8.58,"1,011",,
01,007,Alabama,Bibb,"22,293","9,002","1,612,188,717",622.47,35.81,14.46,"1,090",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"22,293",100.00%,"9,002",100.00%,"1,612,188,717",622.47,100.00%,35.81,14.46,"1,090",,
01,009,Alabama,Blount,"59,134","24,622","1,670,259,090",644.89,91.70,38.18,"2,404","5,624",9.51%,"2,285",9.28%,"11,325,973",4.37,0.68%,"1,286.09",522.53,197,"53,510",90.49%,"22,337",90.72%,"1,658,933,117",640.51,99.32%,83.54,34.87,"2,207",,
01,011,Alabama,Bullock,"10,357","4,516","1,613,083,467",622.81,16.63,7.25,573,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"10,357",100.00%,"4,516",100.00%,"1,613,083,467",622.81,100.00%,16.63,7.25,573,,
01,013,Alabama,Butler,"19,051","9,806","2,012,002,546",776.83,24.52,12.62,"1,238","5,823",30.57%,"2,890",29.47%,"14,521,137",5.61,0.72%,"1,038.60",515.46,196,"13,228",69.43%,"6,916",70.53%,"1,997,481,409",771.23,99.28%,17.15,8.97,"1,042",,
01,015,Alabama,Calhoun,"116,441","53,052","1,569,246,127",605.89,192.18,87.56,"4,873","73,947",63.51%,"34,203",64.47%,"189,727,188",73.25,12.09%,"1,009.46",466.91,"2,816","42,494",36.49%,"18,849",35.53%,"1,379,518,939",532.63,87.91%,79.78,35.39,"2,057",,
01,017,Alabama,Chambers,"34,772","16,373","1,545,085,601",596.56,58.29,27.45,"1,717","17,127",49.26%,"7,985",48.77%,"40,703,667",15.72,2.63%,"1,089.80",508.09,655,"17,645",50.74%,"8,388",51.23%,"1,504,381,934",580.84,97.37%,30.38,14.44,"1,062",,
01,019,Alabama,Cherokee,"24,971","14,513","1,433,620,850",553.52,45.11,26.22,"1,565",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"24,971",100.00%,"14,513",100.00%,"1,433,620,850",553.52,100.00%,45.11,26.22,"1,565",,
01,021,Alabama,Chilton,"45,014","19,438","1,794,438,835",692.83,64.97,28.06,"1,749","6,507",14.46%,"2,891",14.87%,"23,885,561",9.22,1.33%,705.58,313.48,248,"38,507",85.54%,"16,547",85.13%,"1,770,553,274",683.61,98.67%,56.33,24.21,"1,501",,
01,023,Alabama,Choctaw,"12,665","7,104","2,365,900,081",913.47,13.86,7.78,852,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"12,665",100.00%,"7,104",100.00%,"2,365,900,081",913.47,100.00%,13.86,7.78,852,,
01,025,Alabama,Clarke,"23,087","11,655","3,207,494,086","1,238.41",18.64,9.41,"1,282",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"23,087",100.00%,"11,655",100.00%,"3,207,494,086","1,238.41",100.00%,18.64,9.41,"1,282",,
01,027,Alabama,Clay,"14,236","7,035","1,564,255,426",603.96,23.57,11.65,"1,216",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"14,236",100.00%,"7,035",100.00%,"1,564,255,426",603.96,100.00%,23.57,11.65,"1,216",,
01,029,Alabama,Cleburne,"15,056","6,801","1,450,666,453",560.10,26.88,12.14,"1,094",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"15,056",100.00%,"6,801",100.00%,"1,450,666,453",560.10,100.00%,26.88,12.14,"1,094",,
01,031,Alabama,Coffee,"53,465","24,105","1,758,565,928",678.98,78.74,35.50,"1,887","28,053",52.47%,"12,323",51.12%,"54,158,830",20.91,3.08%,"1,341.56",589.31,618,"25,412",47.53%,"11,782",48.88%,"1,704,407,098",658.07,96.92%,38.62,17.90,"1,269",,
01,033,Alabama,Colbert,"57,227","27,666","1,535,742,270",592.95,96.51,46.66,"2,927","34,167",59.70%,"16,432",59.39%,"65,703,000",25.37,4.28%,"1,346.86",647.75,"1,529","23,060",40.30%,"11,234",40.61%,"1,470,039,270",567.58,95.72%,40.63,19.79,"1,398",,
01,035,Alabama,Conecuh,"11,597","6,382","2,202,213,384",850.27,13.64,7.51,956,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"11,597",100.00%,"6,382",100.00%,"2,202,213,384",850.27,100.00%,13.64,7.51,956,,
01,037,Alabama,Coosa,"10,387","5,999","1,685,846,963",650.91,15.96,9.22,936,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"10,387",100.00%,"5,999",100.00%,"1,685,846,963",650.91,100.00%,15.96,9.22,936,,
01,039,Alabama,Covington,"37,570","18,596","2,669,165,738","1,030.56",36.46,18.04,"2,537","11,716",31.18%,"5,846",31.44%,"31,243,614",12.06,1.17%,971.22,484.62,513,"25,854",68.82%,"12,750",68.56%,"2,637,922,124","1,018.50",98.83%,25.38,12.52,"2,024",,
01,041,Alabama,Crenshaw,"13,194","6,516","1,576,952,763",608.86,21.67,10.70,926,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"13,194",100.00%,"6,516",100.00%,"1,576,952,763",608.86,100.00%,21.67,10.70,926,,
01,043,Alabama,Cullman,"87,866","39,145","1,902,962,812",734.73,119.59,53.28,"3,822","21,440",24.40%,"9,500",24.27%,"56,659,998",21.88,2.98%,980.05,434.26,"1,003","66,426",75.60%,"29,645",75.73%,"1,846,302,814",712.86,97.02%,93.18,41.59,"2,819",,
01,045,Alabama,Dale,"49,326","22,761","1,453,276,166",561.11,87.91,40.56,"1,971","24,440",49.55%,"11,233",49.35%,"79,873,196",30.84,5.50%,792.50,364.25,657,"24,886",50.45%,"11,528",50.65%,"1,373,402,970",530.27,94.50%,46.93,21.74,"1,314",,
01,047,Alabama,Dallas,"38,462","18,880","2,534,919,608",978.73,39.30,19.29,"2,008","21,207",55.14%,"10,472",55.47%,"47,365,604",18.29,1.87%,"1,159.62",572.62,740,"17,255",44.86%,"8,408",44.53%,"2,487,554,004",960.44,98.13%,17.97,8.75,"1,268",,
01,049,Alabama,DeKalb,"71,608","30,584","2,012,620,262",777.07,92.15,39.36,"3,636","8,380",11.70%,"3,335",10.90%,"22,392,683",8.65,1.11%,969.26,385.74,409,"63,228",88.30%,"27,249",89.10%,"1,990,227,579",768.43,98.89%,82.28,35.46,"3,227",,
01,051,Alabama,Elmore,"87,977","36,818","1,601,945,705",618.51,142.24,59.53,"2,487","25,305",28.76%,"10,544",28.64%,"52,240,320",20.17,3.26%,"1,254.59",522.76,520,"62,672",71.24%,"26,274",71.36%,"1,549,705,385",598.34,96.74%,104.74,43.91,"1,967",,
01,053,Alabama,Escambia,"36,757","16,684","2,448,595,161",945.40,38.88,17.65,"2,315","12,761",34.72%,"6,211",37.23%,"29,427,132",11.36,1.20%,"1,123.15",546.66,509,"23,996",65.28%,"10,473",62.77%,"2,419,168,029",934.04,98.80%,25.69,11.21,"1,806",,
01,055,Alabama,Etowah,"103,436","47,306","1,385,916,770",535.10,193.30,88.41,"4,186","58,783",56.83%,"27,895",58.97%,"162,759,880",62.84,11.74%,935.42,443.89,"2,262","44,653",43.17%,"19,411",41.03%,"1,223,156,890",472.26,88.26%,94.55,41.10,"1,924",,
01,057,Alabama,Fayette,"16,321","7,760","1,625,693,254",627.68,26.00,12.36,"1,245",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"16,321",100.00%,"7,760",100.00%,"1,625,693,254",627.68,100.00%,26.00,12.36,"1,245",,
01,059,Alabama,Franklin,"32,113","13,912","1,641,845,708",633.92,50.66,21.95,"1,854","9,939",30.95%,"3,847",27.65%,"17,999,410",6.95,1.10%,"1,430.16",553.56,411,"22,174",69.05%,"10,065",72.35%,"1,623,846,298",626.97,98.90%,35.37,16.05,"1,443",,
01,061,Alabama,Geneva,"26,659","12,452","1,487,908,432",574.48,46.41,21.68,"1,958",149,0.56%,55,0.44%,"235,368",0.09,0.02%,"1,639.60",605.22,10,"26,510",99.44%,"12,397",99.56%,"1,487,673,064",574.39,99.98%,46.15,21.58,"1,948",,
01,063,Alabama,Greene,"7,730","4,205","1,675,782,057",647.02,11.95,6.50,856,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"7,730",100.00%,"4,205",100.00%,"1,675,782,057",647.02,100.00%,11.95,6.50,856,,
01,065,Alabama,Hale,"14,785","7,399","1,667,926,655",643.99,22.96,11.49,874,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"14,785",100.00%,"7,399",100.00%,"1,667,926,655",643.99,100.00%,22.96,11.49,874,,
01,067,Alabama,Henry,"17,146","9,058","1,454,959,642",561.76,30.52,16.12,"1,112",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"17,146",100.00%,"9,058",100.00%,"1,454,959,642",561.76,100.00%,30.52,16.12,"1,112",,
01,069,Alabama,Houston,"107,202","49,282","1,501,742,239",579.82,184.89,84.99,"3,612","70,414",65.68%,"33,017",67.00%,"133,312,551",51.47,8.88%,"1,368.01",641.46,"1,696","36,788",34.32%,"16,265",33.00%,"1,368,429,688",528.35,91.12%,69.63,30.78,"1,916",,
01,071,Alabama,Jackson,"52,579","24,627","2,792,044,654","1,078.01",48.77,22.84,"3,186","12,982",24.69%,"6,394",25.96%,"40,125,022",15.49,1.44%,837.97,412.72,435,"39,597",75.31%,"18,233",74.04%,"2,751,919,632","1,062.52",98.56%,37.27,17.16,"2,751",,
01,073,Alabama,Jefferson,"674,721","307,927","2,878,852,142","1,111.52",607.02,277.03,"24,469","593,276",87.93%,"274,337",89.09%,"979,198,006",378.07,34.01%,"1,569.23",725.63,"20,120","81,445",12.07%,"33,590",10.91%,"1,899,654,136",733.46,65.99%,111.04,45.80,"4,349",,
01,075,Alabama,Lamar,"13,972","7,071","1,566,544,684",604.84,23.10,11.69,"1,178",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"13,972",100.00%,"7,071",100.00%,"1,566,544,684",604.84,100.00%,23.10,11.69,"1,178",,
01,077,Alabama,Lauderdale,"93,564","44,585","1,730,148,679",668.01,140.06,66.74,"3,444","44,758",47.84%,"22,010",49.37%,"75,779,263",29.26,4.38%,"1,529.75",752.26,"1,331","48,806",52.16%,"22,575",50.63%,"1,654,369,416",638.75,95.62%,76.41,35.34,"2,113",,
01,079,Alabama,Lawrence *,"33,073","15,225","1,788,864,348",690.68,47.88,22.04,"2,017",2,0.01%,1,0.01%,"2,724",0.01,0.01%,"1,901.62",950.81,1,"33,071",99.99%,"15,224",99.99%,"1,788,861,624",690.68,99.99%,47.88,22.04,"2,016",,
01,081,Alabama,Lee,"174,241","74,856","1,573,528,082",607.54,286.80,123.21,"3,241","128,259",73.61%,"55,786",74.52%,"220,284,243",85.05,14.00%,"1,508.01",655.91,"1,789","45,982",26.39%,"19,070",25.48%,"1,353,243,839",522.49,86.00%,88.01,36.50,"1,452",,
01,083,Alabama,Limestone,"103,570","42,692","1,450,296,914",559.96,184.96,76.24,"3,568","50,736",48.99%,"20,749",48.60%,"106,619,045",41.17,7.35%,"1,232.48",504.04,"1,015","52,834",51.01%,"21,943",51.40%,"1,343,677,869",518.79,92.65%,101.84,42.30,"2,553",,
01,085,Alabama,Lowndes,"10,311","4,779","1,854,651,814",716.08,14.40,6.67,653,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"10,311",100.00%,"4,779",100.00%,"1,854,651,814",716.08,100.00%,14.40,6.67,653,,
01,087,Alabama,Macon,"19,532","9,604","1,576,435,594",608.66,32.09,15.78,"1,322","9,003",46.09%,"4,332",45.11%,"21,229,049",8.20,1.35%,"1,098.39",528.52,265,"10,529",53.91%,"5,272",54.89%,"1,555,206,545",600.47,98.65%,17.53,8.78,"1,057",,
01,089,Alabama,Madison,"388,153","169,820","2,076,136,600",801.60,484.23,211.85,"8,447","321,770",82.90%,"142,378",83.84%,"533,501,034",205.98,25.70%,"1,562.11",691.21,"5,869","66,383",17.10%,"27,442",16.16%,"1,542,635,566",595.61,74.30%,111.45,46.07,"2,578",,
01,091,Alabama,Marengo,"19,323","9,777","2,530,155,136",976.89,19.78,10.01,"1,349","6,227",32.23%,"2,986",30.54%,"11,781,694",4.55,0.47%,"1,368.90",656.42,270,"13,096",67.77%,"6,791",69.46%,"2,518,373,442",972.34,99.53%,13.47,6.98,"1,079",,
01,093,Alabama,Marion,"29,341","14,073","1,922,660,061",742.34,39.53,18.96,"2,463",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"29,341",100.00%,"14,073",100.00%,"1,922,660,061",742.34,100.00%,39.53,18.96,"2,463",,
01,095,Alabama,Marshall,"97,612","41,245","1,465,531,833",565.84,172.51,72.89,"3,775","45,242",46.35%,"18,525",44.91%,"107,537,259",41.52,7.34%,"1,089.64",446.17,"1,481","52,370",53.65%,"22,720",55.09%,"1,357,994,574",524.32,92.66%,99.88,43.33,"2,294",,
01,097,Alabama,Mobile,"414,809","184,441","3,184,064,139","1,229.37",337.42,150.03,"9,916","321,907",77.60%,"145,122",78.68%,"571,733,437",220.75,17.96%,"1,458.27",657.42,"6,467","92,902",22.40%,"39,319",21.32%,"2,612,330,702","1,008.62",82.04%,92.11,38.98,"3,449",,
01,099,Alabama,Monroe,"19,772","10,127","2,656,469,672","1,025.66",19.28,9.87,"1,158","4,284",21.67%,"2,229",22.01%,"12,581,347",4.86,0.47%,881.91,458.86,155,"15,488",78.33%,"7,898",77.99%,"2,643,888,325","1,020.81",99.53%,15.17,7.74,"1,003",,
01,101,Alabama,Montgomery,"228,954","105,293","2,034,045,843",785.35,291.53,134.07,"4,793","200,646",87.64%,"93,042",88.36%,"279,171,141",107.79,13.72%,"1,861.49",863.19,"3,434","28,308",12.36%,"12,251",11.64%,"1,754,874,702",677.56,86.28%,41.78,18.08,"1,359",,
01,103,Alabama,Morgan,"123,421","53,265","1,501,337,447",579.67,212.92,91.89,"4,806","75,981",61.56%,"33,042",62.03%,"144,519,835",55.80,9.63%,"1,361.69",592.16,"2,392","47,440",38.44%,"20,223",37.97%,"1,356,817,612",523.87,90.37%,90.56,38.60,"2,414",,
01,105,Alabama,Perry,"8,511","3,933","1,863,936,200",719.67,11.83,5.47,736,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"8,511",100.00%,"3,933",100.00%,"1,863,936,200",719.67,100.00%,11.83,5.47,736,,
01,107,Alabama,Pickens,"19,123","8,646","2,282,835,039",881.40,21.70,9.81,"1,114",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"19,123",100.00%,"8,646",100.00%,"2,282,835,039",881.40,100.00%,21.70,9.81,"1,114",,
01,109,Alabama,Pike,"33,009","15,977","1,740,645,369",672.06,49.12,23.77,"1,434","14,466",43.82%,"6,857",42.92%,"25,412,899",9.81,1.46%,"1,474.33",698.84,334,"18,543",56.18%,"9,120",57.08%,"1,715,232,470",662.25,98.54%,28.00,13.77,"1,100",,
01,111,Alabama,Randolph,"21,967","12,400","1,503,618,358",580.55,37.84,21.36,"1,419",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"21,967",100.00%,"12,400",100.00%,"1,503,618,358",580.55,100.00%,37.84,21.36,"1,419",,
01,113,Alabama,Russell,"59,183","27,253","1,660,652,494",641.18,92.30,42.50,"1,771","35,302",59.65%,"16,712",61.32%,"55,651,478",21.49,3.35%,"1,642.94",777.77,866,"23,881",40.35%,"10,541",38.68%,"1,605,001,016",619.69,96.65%,38.54,17.01,905,,
01,115,Alabama,St. Clair,"91,103","37,775","1,635,759,732",631.57,144.25,59.81,"2,665","29,963",32.89%,"12,643",33.47%,"82,178,609",31.73,5.02%,944.34,398.47,558,"61,140",67.11%,"25,132",66.53%,"1,553,581,123",599.84,94.98%,101.93,41.90,"2,107",,
01,117,Alabama,Shelby,"223,024","89,060","2,034,279,155",785.44,283.95,113.39,"6,190","169,571",76.03%,"67,495",75.79%,"306,557,172",118.36,15.07%,"1,432.65",570.24,"2,898","53,453",23.97%,"21,565",24.21%,"1,727,721,983",667.07,84.93%,80.13,32.33,"3,292",,
01,119,Alabama,Sumter,"12,345","6,279","2,340,898,913",903.82,13.66,6.95,916,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"12,345",100.00%,"6,279",100.00%,"2,340,898,913",903.82,100.00%,13.66,6.95,916,,
01,121,Alabama,Talladega,"82,149","37,948","1,908,346,572",736.81,111.49,51.50,"3,904","33,944",41.32%,"15,825",41.70%,"90,636,893",34.99,4.75%,969.97,452.21,"1,336","48,205",58.68%,"22,123",58.30%,"1,817,709,679",701.82,95.25%,68.69,31.52,"2,568",,
01,123,Alabama,Tallapoosa,"41,311","22,686","1,855,798,005",716.52,57.65,31.66,"2,128","8,920",21.59%,"4,428",19.52%,"25,354,836",9.79,1.37%,911.18,452.32,291,"32,391",78.41%,"18,258",80.48%,"1,830,443,169",706.73,98.63%,45.83,25.83,"1,837",,
01,125,Alabama,Tuscaloosa,"227,036","101,460","3,420,981,170","1,320.84",171.89,76.81,"6,567","156,450",68.91%,"71,635",70.60%,"228,331,801",88.16,6.67%,"1,774.64",812.57,"3,405","70,586",31.09%,"29,825",29.40%,"3,192,649,369","1,232.68",93.33%,57.26,24.20,"3,162",,
01,127,Alabama,Walker,"65,342","29,975","2,048,757,700",791.03,82.60,37.89,"3,334","13,274",20.31%,"5,781",19.29%,"43,254,699",16.70,2.11%,794.82,346.15,576,"52,068",79.69%,"24,194",80.71%,"2,005,503,001",774.32,97.89%,67.24,31.25,"2,758",,
01,129,Alabama,Washington,"15,388","7,712","2,797,712,949","1,080.20",14.25,7.14,"1,025",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"15,388",100.00%,"7,712",100.00%,"2,797,712,949","1,080.20",100.00%,14.25,7.14,"1,025",,
01,131,Alabama,Wilcox,"10,600","5,261","2,299,540,559",887.85,11.94,5.93,748,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"10,600",100.00%,"5,261",100.00%,"2,299,540,559",887.85,100.00%,11.94,5.93,748,,
01,133,Alabama,Winston,"23,540","13,015","1,587,657,470",612.99,38.40,21.23,"1,350",0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"23,540",100.00%,"13,015",100.00%,"1,587,657,470",612.99,100.00%,38.40,21.23,"1,350",,
02,013,Alaska,Aleutians East,"3,420",679,"18,091,672,533","6,985.19",0.49,0.10,610,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"3,420",100.00%,679,100.00%,"18,091,672,533","6,985.19",100.00%,0.49,0.10,610,,
02,016,Alaska,Aleutians West,"5,232","1,331","11,377,885,025","4,393.00",1.19,0.30,653,0,0.00%,0,0.00%,0,0.00,0.00%,0.00,0.00,0,"5,232",100.00%,"1,331",100.00%,"11,377,885,025","4,393.00",100.00%,1.19,0.30,653,,
02,020,Alaska,Anchorage,"291,247","118,640","4,420,591,349","1,706.79",170.64,69.51,"3,709","278,813",95.73%,"113,189",95.41%,"283,271,854",109.37,6.41%,"2,549.23","1,034.91","3,250","12,434",4.27%,"5,451",4.59%,"4,137,319,495","1,597.42",93.59%,7.78,3.41,459,,
02,050,Alaska,Bethel,"18,666","5,984","105,223,804,364","40,626.91",0.46,0.15,"1,092","5,097",27.31%,"1,756",29.34%,"38,849,240",15.00,0.04%,339.81,117.07,72,"13,569",72.69%,"4,228",70.66%,"105,184,955,124","40,611.91",99.96%,0.33,0.10,"1,020",,
